,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL,finalPrice
0,"[클래스문방구] 사진보다 실감나게, 색연필로 그려내는 극사실 인물화",colorPencil,극사실 색연필 인물화,중급자,20주 수강 가능,7,26,바로 수강 가능,True,사무엘,https://www.instagram.com/jjang_samuel/,136,99%,39개의 글,1658,98,,510개의 피드백 더보기,"451,800원","-96,500원","-40,000원",5개월 할부,30%,"월 63,060원",3만원 쿠폰,2021-06-09,https://class101.net/products/eJ49i4w1KdxuqGjzii7T,"315,300원"
0,"[클래스문방구] 좋아하는 음악, 영화, 그리고 사람. 캐쓰와 함께 색연필로 그려요!",colorPencil,색연필 일러스트,입문자,20주 수강 가능,9,27,바로 수강 가능,True,KATH,https://instagram.com/kath_illust,147,91%,41개의 글,1559,,,,"439,192원","-179,110원","-40,000원",5개월 할부,49%,"월 44,016원",3만원 쿠폰,2021-06-09,https://class101.net/products/w0PzcnpNJppDkKVnkUKn,"220,082원"
0,"[클래스문방구] 소소하지만 행복하게, 설찌의 색연필 일러스트",colorPencil,색연필 손그림 일러스트,초급자,20주 수강 가능,13,34,바로 수강 가능,True,설찌,https://www.instagram.com/seol.zzi/,121,99%,30개의 글,1292,99,평균 3일 이내 응답,826개의 피드백 더보기,"378,700원","-89,200원","-40,000원",5개월 할부,34%,"월 49,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/YnE7LV3QMuqTjrEgjNDM,"249,500원"
0,"[클래스문방구] 반짝반짝 보석그리기, 감성 색연필 일러스트",colorPencil,색연필 일러스트,입문자,20주 수강 가능,8,31,바로 수강 가능,True,단하빛,"https://instagram.com/danhabit_jewelrydesign, https://blog.naver.com/sunhee511, https://instagram.com/danhabit_songrim",167,92%,11개의 글,1241,,,,"346,629원","-97,129원","-40,000원",5개월 할부,39%,"월 41,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/7AobsYWVWa2T2Iudrq76,"209,500원"
0,[자유이용권] 5가지 클래스로 펜과 색연필 즐기기,colorPencil,펜과 색연필 드로잉,입문자,3년 수강 가능,0,0,바로 수강 가능,True,클래스101,,,,,1230,,,,"1,599,033원","-661,833원","-40,000원",12개월 할부,43%,"월 74,766원",3만원 쿠폰,2021-06-09,https://class101.net/products/E1HQYsToFVeN5tJf7EqX,"897,200원"
0,"[🔥상반기 총결산] 텨댜와 함께 해요, 언제 어디서나 슥슥 그리는 이야기가 담긴 인스타툰",colorPencil,인스타툰 그리기,입문자,20주 수강 가능,11,42,바로 수강 가능,True,텨댜,https://instagram.com/tyeodya,,,14개의 글,851,,,,"324,700원","-76,200원","-50,000원",5개월 할부,38%,"월 39,700원",5만원 쿠폰,2021-06-09,https://class101.net/products/Nkdma3gOTrdoHYvCxf1r,"198,500원"
0,"[클래스문방구] 시들지 않는 꽃, 색상별로 그려보는 색연필 보태니컬 아트",colorPencil,색연필로 그리는 꽃그림,중급자,20주 수강 가능,10,39,바로 수강 가능,False,아티스트 이해련,http://instagram.com/haeryun_lee,36,97%,51개의 글,690,,,,"337,700원","-92,800원","-40,000원",5개월 할부,39%,"월 40,980원",3만원 쿠폰,2021-06-09,https://class101.net/products/z0WztIIkTVtB8GoCEzVq,"204,900원"
0,[클래스문방구] 가성비 끝판왕! 어릴적 사용했던 '그' 크레파스로 그려내는 달콤한 일러스트,colorPencil,크레파스 드로잉,입문자,20주 수강 가능,11,44,바로 수강 가능,False,쿠레욤,"http://www.instagram.com/cureyom, https://www.youtube.com/channel/UCYnPrRqaTnmLzImMnwnvysA/featured?app=desktop",,,32개의 글,631,,,,"341,000원","-91,800원","-40,000원",5개월 할부,38%,"월 41,840원",3만원 쿠폰,2021-06-09,https://class101.net/products/HwmSrCQhXSQ0Zpn2Ymv9,"209,200원"
0,"[클래스문방구] 흑과 백, 4가지 색연필로 정확하게 그리는 인물화 입문",colorPencil,색지에 그리는 인물화,입문자,20주 수강 가능,10,32,바로 수강 가능,True,여백,https://www.instagram.com/paint_in_space_,54,100%,6개의 글,620,,,,"337,000원","-113,050원","-40,000원",5개월 할부,45%,"월 36,790원",3만원 쿠폰,2021-06-09,https://class101.net/products/NXtHITxsZEJzS59Odmlk,"183,950원"
0,[MINI] 일상을 특별하게 만들어 주는 사랑스러운 색연필 그림,colorPencil,색연필 손그림,중급자,12주 수강 가능,2,7,바로 수강 가능,True,bynaeng,"https://instagram.com/bynaeng, https://m.smartstore.naver.com/nearfore",26,100%,,608,,,,"132,400원","-50,102원",,3개월 할부,37%,"월 27,432원",,2021-06-09,https://class101.net/products/RKdhOsQgJnfeMH3PeCQ0,
0,[클래스문방구] 펜과 색연필로 표현하는 나만의 감성적인 패션 일러스트,colorPencil,일러스트,입문자,20주 수강 가능,9,26,바로 수강 가능,True,chany,https://www.instagram.com/chany6.6/,21,100%,20개의 글,577,100,평균 하루 이내 응답,123개의 피드백 더보기,"366,300원","-101,600원","-40,000원",5개월 할부,38%,"월 44,940원",3만원 쿠폰,2021-06-09,https://class101.net/products/CBENDvo9DhBGwDuJdN6i,"224,700원"
0,[클래스문방구] 뽀송한 고양이 일러스트의 모든 것! 냥송이의 색연필 클래스,colorPencil,색연필 일러스트,초급자,20주 수강 가능,11,36,바로 수강 가능,False,냥송이,https://www.instagram.com/nyangsongi/,,,8개의 글,561,92,평균 3일 이내 응답,68개의 피드백 더보기,"396,100원","-106,600원","-30,000원",5개월 할부,34%,"월 51,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/vrQPqifPWCKHPHFXTODv,"259,500원"
0,[클래스문방구] 마음이 따뜻해지는 작고 소중한 그림 선물,colorPencil,그림을 이용한 여러가지 선물 만들기,초급자,20주 수강 가능,10,42,바로 수강 가능,True,엘,https://www.instagram.com/by_ell/,66,100%,12개의 글,522,,,,"359,500원","-90,000원","-40,000원",5개월 할부,36%,"월 45,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/Ynpqwp4xa413nOBMbk9U,"229,500원"
0,"[🔥상반기 총결산] 슥삭슥삭 누구나 그릴 수 있어요, 아기자기한 연필파스텔 그림일기",colorPencil,연필파스텔 일러스트,입문자,20주 수강 가능,9,33,바로 수강 가능,True,릴리안,"https://instagram.com/lilian_j_art, https://facebook.com/Pet%20Portrait%20Adelaide, https://m.blog.naver.com/lilianjart",,,21개의 글,505,,,,"412,200원","-87,700원","-80,000원",5개월 할부,40%,"월 48,900원",8만원 쿠폰,2021-06-09,https://class101.net/products/ytU7Fp3Svc1fgaRBWB0R,"244,500원"
0,"[클래스문방구] 손끝에서 탄생하는, 사진보다 더 리얼한 색연필화",colorPencil,극사실 색연필 인물화,중급자,20주 수강 가능,12,63,바로 수강 가능,True,Artheaven,"https://youtube.com/c/Artheaven, https://www.instagram.com/artheaven_space/",,,7개의 글,435,,,,"351,030원","-90,300원","-40,000원",5개월 할부,37%,"월 44,146원",3만원 쿠폰,2021-06-09,https://class101.net/products/pN5kj80G0y16bNDU4G2i,"220,730원"
0,[클래스문방구] 쉽게 그리는 청그림의 색연필 여행드로잉! 따듯한 색감들로 채워요,colorPencil,여행드로잉 색연필화,초급자,20주 수강 가능,10,34,바로 수강 가능,False,청그림,http://www.instagram.com/cheongdraw,,,3개의 글,289,100,평균 7일 이내 응답,39개의 피드백 더보기,"349,900원","-80,400원","-40,000원",5개월 할부,34%,"월 45,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/xUBhsMMH33lJknZZAms5,"229,500원"
0,"[꿀조합 할인🍯] 색연필로 그리는 귀여운 그림, 편안한 행복",colorPencil,드로잉,입문자,48주 수강 가능,0,0,바로 수강 가능,False,,,,,,223,,,,"538,000원","-225,200원","-40,000원",12개월 할부,49%,"월 22,733원",3만원 쿠폰,2021-06-09,https://class101.net/products/pZEJbcKdNrO4QwPuR35B,"272,800원"
0,"[클래스문방구] 내가 직접 디자인하는 색연필 인물화, 나만의 인물화를 그려요",colorPencil,색연필/연필 인물화,입문자,20주 수강 가능,10,25,바로 수강 가능,False,j0_grim,https://www.instagram.com/j0_grim/,,,11개의 글,224,,,,"376,000원","-76,500원","-40,000원",5개월 할부,30%,"월 51,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/g9k20Jb6wvOfkbfHNLt3,"259,500원"
0,[클래스문방구] 내손으로 '쓱삭 쓱삭' 그려보는 반려동물 감성드로잉,colorPencil,색연필로 그려보는 반려동물,초급자,20주 수강 가능,10,29,바로 수강 가능,False,도나도리,,,,16개의 글,210,,,,"342,250원","-67,200원","-30,000원",5개월 할부,28%,"월 49,010원",3만원 쿠폰,2021-06-09,https://class101.net/products/MeBRx2u0424M9ft2eFq0,"245,050원"
0,"[🔥상반기 총결산] 내 이야기를 담아 완성하는, 색연필 인형 컬러링",colorPencil,인형컬러링북,초급자,20주 수강 가능,9,26,바로 수강 가능,False,그리고AND,http://instagram.com/hj_and_drawing,,,1개의 글,108,,,,"402,000원","-85,600원","-80,000원",5개월 할부,41%,"월 47,280원",8만원 쿠폰,2021-06-09,https://class101.net/products/4bZV3VN5ZeSR0G2SlSDN,"236,400원"
0,[색연필 손그림 일러스트] 달콤한 디저트와 음료 드로잉,colorPencil,디저트 손그림 일러스트,초급자,4주 수강 가능,10,38,바로 수강 가능,True,임새봄,https://instagram.com/lovely_limbom2,345,95%,,85,96,평균 3일 이내 응답,"1,360개의 피드백 더보기","259,000원","-220,000원",,최종 금액,84%,"39,000원",1개월 무제한,2021-06-09,https://class101.net/products/9nHNCTETqKCJHtf9Y5lJ,
0,"꽃보다 꽃처럼, 봄날의 포근함을 그려요 _ 주드의 보태니컬아트",colorPencil,색연필 보태니컬아트,초급자,20주 수강 가능,11,39,21.06.22 (화),False,주드,"https://instagram.com/youbecameflower, https://www.youtube.com/channel/UCNh9G1W3o_tL9IOa693oy7Q",,,3개의 글,71,,,,"322,700원","-108,200원","-10,000원",5개월 할부,36%,"월 40,900원",,2021-06-09,https://class101.net/products/Ku2HDjMtGpAaRP1FrYMu,"204,500원"
